iter	Logloss
0	0.6168225783
1	0.559216038
2	0.5097009407
3	0.4732454228
4	0.4463904954
5	0.4259883875
6	0.4095429473
7	0.3940010764
8	0.3820482949
9	0.3722237285
10	0.363573309
11	0.3572408352
12	0.3527966676
13	0.3478946118
14	0.3429171328
15	0.3382172621
16	0.3361765438
17	0.3338014842
18	0.3315167956
19	0.3286796251
20	0.3266907327
21	0.3241387274
22	0.3222121473
23	0.3213078636
24	0.3198925955
25	0.3178368264
26	0.3168936097
27	0.3160346249
28	0.3153683378
29	0.314425014
30	0.3125501297
31	0.3109903178
32	0.3096814651
33	0.3091690805
34	0.3080390732
35	0.307323021
36	0.3064446351
37	0.3056945391
38	0.3049311505
39	0.3041162776
40	0.3035517274
41	0.3029414255
42	0.3023991247
43	0.3018664057
44	0.3015715617
45	0.3012270344
46	0.3009077421
47	0.3003995454
48	0.2999431832
49	0.299759755
50	0.2992571801
51	0.2989889452
52	0.2986857791
53	0.2983796365
54	0.2975387352
55	0.2972015062
56	0.2967824753
57	0.2964506477
58	0.2962813883
59	0.2957346526
60	0.295398123
61	0.295199634
62	0.2949958654
63	0.2941829153
64	0.2938028275
65	0.2934814126
66	0.2932242195
67	0.2929132101
68	0.2921702699
69	0.2918934814
70	0.2917064121
71	0.2911917973
72	0.2911028692
73	0.2910404219
74	0.2906173022
75	0.2904750106
76	0.2902437029
77	0.2895184019
78	0.2891499844
79	0.2889772391
80	0.2888586682
81	0.2886421997
82	0.2884916836
83	0.2882540515
84	0.2881468958
85	0.2879896968
86	0.2879083802
87	0.2877489131
88	0.2877033895
89	0.2876783428
90	0.2872921489
91	0.287159216
92	0.2870235009
93	0.2869576789
94	0.286758275
95	0.2866376174
96	0.2863117995
97	0.2861804893
98	0.2860246084
99	0.285886021
100	0.2857530743
101	0.2857088838
102	0.2856462026
103	0.2855185277
104	0.2853520593
105	0.2849926621
106	0.2848671098
107	0.2846152238
108	0.2844207585
109	0.2843351486
110	0.2842557922
111	0.284088372
112	0.2840490514
113	0.2838140747
114	0.2835546928
115	0.2835479157
116	0.2835171674
117	0.2834085286
118	0.283247275
119	0.2831886071
120	0.2830771089
121	0.2829788007
122	0.2829165074
123	0.2828268177
124	0.2826497859
125	0.2825070087
126	0.2820462909
127	0.2814762096
128	0.281332103
129	0.2810272203
130	0.2809007083
131	0.2808084562
132	0.2803294685
133	0.2798586808
134	0.2797870757
135	0.2792276988
136	0.2791846557
137	0.2790002965
138	0.2789870457
139	0.2788841628
140	0.2787632882
141	0.2785910782
142	0.2784845853
143	0.2784027251
144	0.2777895377
145	0.2777675383
146	0.2777157529
147	0.2775071831
148	0.2774316331
149	0.2768836462
150	0.2767668133
151	0.2762716879
152	0.2761654078
153	0.2760779699
154	0.2758696548
155	0.2755918277
156	0.2754688928
157	0.2753389239
158	0.2751142445
159	0.2749075613
160	0.2747549872
161	0.2745855066
162	0.2745704665
163	0.2745024783
164	0.274458733
165	0.274323805
166	0.2742580361
167	0.2742246504
168	0.2739513653
169	0.273923574
170	0.2737815048
171	0.2737118822
172	0.2736146343
173	0.2734701122
174	0.273423891
175	0.2733293468
176	0.2732192321
177	0.2731131985
178	0.2730595334
179	0.2727045482
180	0.2725361842
181	0.2724329844
182	0.2723099119
183	0.272199943
184	0.2721125162
185	0.2720704616
186	0.2719580237
187	0.2719342404
188	0.2718560311
189	0.2718025528
190	0.2717881677
191	0.2717618319
192	0.2717060308
193	0.2715662294
194	0.2715177437
195	0.2712729966
196	0.2711166049
197	0.2709875669
198	0.2709631623
199	0.2707872171
